ID_Photo,Similarity
1064251710,0
1064252392,0
1064252764,0
10786289105,1
10786545145,1
10910084,1
10910114,1
11022734894,1
11202406634,1
11202521873,1
11399737104,1
11649745715,1
11732900895,1
11757285944,1
11780480754,1
11800476863,1
12061008233,1
1237561063,1
1237565223,1
1251718354,1
12565345003,1
12566067133,1
12577752164,1
12870928205,1
1291731262,0
13336751233,1
1390402185,1
1467573655,1
1486226930,0
15836484359,1
15885017903,1
15966732915,1
15996669506,1
16155269103,1
1663821405,1
1664686948,1
16775196565,1
169163298,1
173270475,1
19053690764,1
2070535595,1
2071329798,1
2091338953,0
2197791384,1
2212367105,1
2274611505,1
2274616733,1
2277133453,1
2281434507,1
2314169021,1
2314171571,1
2341983619,1
2347144521,1
2347972452,1
2388193783,0
2405495711,1
24066808812,1
2422078798,1
2422079104,1
2427585433,1
2428397228,1
2446768244,0
2467290008,1
2523893272,1
2558753380,1
2558754182,1
2601587719,0
2601629189,0
2705797093,1
2705797799,1
2762432280,1
2816030452,1
2822230329,1
2826547386,1
2842079946,0
2941836153,1
2942692580,1
2960384757,1
2965552360,1
2993813761,1
3020722993,0
3021465757,0
3128207481,1
3132043244,1
3154231846,0
3210957520,0
3213627995,0
3214475712,0
3224523926,1
3284562545,1
3328457456,1
3351315244,1
3370545050,1
3408011418,1
3421882346,1
3427894803,1
3490075347,1
3490889084,1
3545961884,1
3662547133,1
3662559395,1
3662562603,1
3662584851,1
3662586277,1
3662587097,1
3662587943,1
3662589691,1
3662591493,1
3662598811,1
3662600393,1
3662601357,1
3662603149,1
3662604155,1
3662608237,1
3662609169,1
3662610345,1
3662611209,1
3662613023,1
3662613905,1
3662618093,1
3662620593,1
3662621527,1
3662626055,1
3662627905,1
3662629707,1
3662632329,1
3662633129,1
3662634147,1
3662635061,1
3662637797,1
3662639819,1
3662640855,1
3662641739,1
3662642627,1
3662645063,1
3662645889,1
3662646715,1
3662649059,1
3662649849,1
3662650677,1
3662651489,1
3662653157,1
3662654085,1
3662654913,1
3662657415,1
3662658219,1
3662658961,1
3662660333,1
3662661483,1
3662662247,1
3662662915,1
3663363340,1
3663365808,1
3663366886,1
3663390408,1
3663392344,1
3663394090,1
3663395036,1
3663395916,1
3663396910,1
3663397820,1
3663398720,1
3663399634,1
3663401474,1
3663404282,1
3663407198,1
3663408148,1
3663409108,1
3663414038,1
3663417680,1
3663418520,1
3663419328,1
3663421010,1
3663421828,1
3663424476,1
3663425274,1
3663426204,1
3663429118,1
3663431118,1
3663432942,1
3663438354,1
3663439344,1
3663441370,1
3663445896,1
3663446536,1
3663449714,1
3663450542,1
3663454602,1
3663457870,1
3663458854,1
3663462044,1
3663463356,1
367349601,1
3686608349,1
3781130127,1
3881284702,1
3883881529,0
3902044555,1
3902826308,1
3917396913,1
4023625376,1
4097796039,1
4098553948,1
4106510158,1
4117887937,1
4164235851,1
4165670401,1
4229605730,1
4229608164,1
4246132416,1
4246135114,1
4281925582,1
4286070373,1
4299769925,1
4300055611,1
4342231927,1
4342232223,1
4391511939,1
4533355249,0
4551602697,0
4564563823,1
4581915429,1
4582546472,1
4651463709,1
4662142583,1
4795193433,0
480891605,1
4841397519,0
4842012744,0
4842017224,0
4937549822,1
4939561910,1
4983300009,1
5004132019,1
5191391411,1
5199215737,1
5222352082,1
5257017007,1
5318027209,1
5323582937,1
539077602,1
5411524955,1
5430836021,1
5433010355,1
5452928905,1
5453541398,1
5455134515,1
5467814003,0
5600328227,1
5600330705,1
5600908960,1
5600911982,1
5611847165,1
5611847461,1
5768032664,1
5918221652,1
6047588157,1
6134633595,1
6167803218,1
6171524282,1
6248288912,1
6248866277,1
6350850085,1
6456824,1
6589548439,1
6589550525,1
6589554549,1
6589558353,1
6678371209,1
6752003837,1
6764312289,1
6803501236,1
6820731789,1
6855970141,1
7251992954,0
7251993642,0
7359237418,1
7399104602,1
7399104800,1
7668114816,1
7668116914,1
7697447778,1
8252182437,1
828455886,1
8294371990,1
8413382870,1
8505083279,1
8616557960,1
8715663008,0
8921676196,1
9038524669,1
9038530883,1
9040745264,1
986225923,1
99315626,1
99315642,1
9950648145,1
9950693414,1
