ID_Photo,ID_Cluster
10564348076,1
12259122585,1
12331172865,1
11196912264,1
10909911366,1
10460170206,1
8065247420,1
8065257449,1
8065248883,1
8065243550,1
8716325706,1
8721969972,1
2872090077,2
16061348266,2
4423491065,2
4423491519,2
14777494119,2
14538076465,2
15899711518,2
22151593749,2
3989138750,2
8949968215,2
4688262628,2
6495478557,2
2875106969,2
8678986416,2
7708890656,2
5813882968,2
5813881098,2
5681523458,2
5680958781,2
4333987294,2
4125997683,2
4126766140,2
9755839704,2
5853107350,2
4631203985,2
4526722760,3
4523627814,3
4522993547,3
4523626370,3
16839293405,3
16651961820,3
2937166542,3
3143238849,4
3146422943,4
3559964248,4
3462919393,4
4727854715,4
2202145203,4
5765693759,5
11300772063,5
15345927805,5
16704942825,5
4142445987,5
4333560782,5
4525078764,5
5498222886,5
7745144460,5
7745149650,5
7745151280,5
8435596132,5
8704568385,5
8732040948,5
742177071,5
7288422964,5
8730913129,5
4240775738,5
6103813509,6
6103829411,6
6103813945,6
182927334,6
182927397,6
9849518756,6
2937166478,7
3806338145,7
6161708709,7
5732804146,8
5732804652,8
5732258617,8
5732258521,8
5732258637,8
5732258279,8
5732258477,8
6103859913,8
13804615964,12
14963964928,8
19250455605,8
2767066162,8
3630575683,8
3631389114,8
3631389596,8
5840004868,8
8603898827,8
8603903503,8
9933963133,8
742198739,8
743027266,8
6032729473,8
5604307517,8
5325524892,8
3630575077,8
17194597705,8
24901835875,8
8398125090,8
743030254,8
23386177530,8
14295332925,8
14963820199,8
16177964436,8
8068047422,8
8732038250,8
530760264,8
4819495548,8
4818874479,8
4643213909,8
4685941443,8
4684407916,8
5633123306,8
22851352617,8
5855892694,8
5809762023,8
5732258205,8
5732258183,8
5696592206,8
5604308135,8
5604894120,8
5331014669,8
3879531599,8
3871557947,8
23610134156,9
2640576591,9
4332817711,9
4367261292,9
4367263394,9
4367256732,9
5325526544,9
5760269391,9
16229156313,9
16288608363,9
18940714820,9
8750190550,9
3526678951,9
23674939064,9
14963820089,9
15613877663,10
2241569541,10
2241570383,10
3578987145,10
3579797230,10
3579797998,10
5730330653,10
10910403406,10
1161670601,10
5852551713,10
5852553113,10
3856920121,10
3856920125,10
3856920117,10
9868148266,10
9868238573,10
9868127125,10
7562571282,10
5556471752,10
5522313143,10
4706572927,10
4077320959,10
2782377125,10
2782377035,10
3579796678,10
3579795706,10
4718387451,10
15558552047,11
8741580684,11
7540667718,11
5604309675,11
25030663216,12
3579795050,12
3578985107,12
3806340529,12
16587460605,13
16991483470,13
18023497103,13
18932525264,13
3140746593,13
3872341328,13
5633122994,13
5752995964,13
8034564092,13
5140816102,13
6912399266,13
16649418420,14
4334014758,14
4332818461,14
4333558676,14
